commodity;categoria;categoria_planning;categoria_gpc;product_group;marca_gpc;cod_produto;produto;peso_liquido_caixa;unidades_caixa;peso_liquido_unitario
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;DOVE;424;HAIR CO DOVE REGULAR;2,364;12;0,19700
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;DOVE;425;HAIR CO DOVE 400ML;4,704;12;0,39200
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SEDA;427;HAIR CO SEDA REGULAR;3,861;12;0,32175
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;NEXXUS;594;HAIR CO NEXXUS 250ML;1,550;6;0,25833
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;NEXXUS;598;HAIR SH NEXXUS 250ML;1,550;6;0,25833
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;CLEAR;802;HAIR SH CLEAR MEN 400+70ML GRATIS;4,963;12;0,41358
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;CLEAR;38U;HAIR CO CLEAR REGULAR;2,388;12;0,19900
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SUAVE;43A;HAIR CO SUAVE REGULAR;3,838;12;0,31983
BEAUTY;HAIR;HAIR;HAIR;MODELADOR;TRIM;43B;HAIR TRIM;0,780;12;0,06500
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;CLEAR;43D;HAIR SH CLEAR REGULAR;2,482;12;0,20683
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;CLEAR;43E;HAIR SH CLEAR TAM GRANDES;4,963;12;0,41358
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DIMENSION;43G;HAIR SH DIMENSION;2,479;12;0,20658
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DOVE;43H;HAIR SH DOVE REGULAR;2,470;12;0,20583
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DOVE;43I;HAIR SH DOVE 400ML;4,939;12;0,41158
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SEDA;43K;HAIR SH SEDA REGULAR;4,005;12;0,33375
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SUAVE;43N;HAIR SH SUAVE REGULAR;3,970;12;0,33083
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;43O;HAIR CRPE DOVE REGULAR;2,376;12;0,19800
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;43S;HAIR CRPE SEDA REGULAR;3,568;12;0,29733
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;TRESEMME;45J;HAIR SH TRESEMME 400;4,960;12;0,41333
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;TRESEMME;45K;HAIR SH TRESEMME 750;9,300;12;0,77500
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;TRESEMME;45L;HAIR CO TRESEMME 400;4,750;12;0,39583
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;TRESEMME;45M;HAIR CO TRESEMME 750;8,860;12;0,73833
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;45N;HAIR CRTR TRESEMME 1K;6,000;6;1,00000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;45Y;HAIR CRTR TRESEMME 400G;2,400;6;0,40000
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DOVE;46I;HAIR SH DOVE MEN 400ML;4,940;12;0,41167
BEAUTY;HAIR;BABY;BABY DOVE;SHAMPOO;BABY DOVE;47I;HAIR SH DOVE BABY 400ML;4,900;12;0,40833
BEAUTY;HAIR;BABY;BABY DOVE;SHAMPOO;BABY DOVE;47K;HAIR SH DOVE BABY 200ML;2,450;12;0,20417
BEAUTY;HAIR;BABY;BABY DOVE;CONDICIONADORES;BABY DOVE;5DG;HAIR CO DOVE BABY 200ML;2,360;12;0,19667
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;DOVE;5H2;HAIR SH 400+CO200 DOVE - PR ESP;4,877;8;0,60963
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;SEDA;60C;HAIR SH+CO SEDA REGULAR - PR ESP;9,833;15;0,65553
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DOVE;61Y;HAIR SH DOVE MEN 200ML;2,470;12;0,20583
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;TRESEMME;6AB;HAIR SH 400+CO200 TRESEMME - PR ESP;9,792;16;0,61200
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;TRESEMME;6H6;HAIR SH TRESEMME 200ML;2,480;12;0,20667
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;TRESEMME;6H8;HAIR CO TRESEMME 200ML;2,380;12;0,19833
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;6RF;HAIR CRPE SEDA REGULAR 1KG;6,000;6;1,00000
BEAUTY;HAIR;BABY;BABY DOVE;TRATAMENTO PARA CABELO;BABY DOVE;6SB;HAIR CRPE DOVE BABY 150ML;1,800;12;0,15000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;6TX;HAIR CRPE SEDA BOOM 1KG;6,000;6;1,00000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;6WM;HAIR SPRAY SEDA BOOM 125ML;0,738;6;0,12300
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SUAVE;7OW;HAIR SH SUAVE 750ML;9,171;12;0,76425
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SUAVE;7OY;HAIR CO SUAVE 750ML;8,856;12;0,73800
